Year,GW Change
1962,0.030156171
1963,-0.057518505
1964,-7.756522962
1965,-8.345418169
1966,-14.54493144
1967,-9.850606812
1968,-18.06666354
1969,-7.416648062
1970,-7.083817578
1971,-11.25990455
1972,-21.23525835
1973,-15.30883062
1974,-14.2735148
1975,-16.38291603
1976,-26.35670576
1977,-40.95919148
1978,-31.86627574
1979,-33.76589496
1980,-30.68896021
1981,-36.2139117
1982,-30.441277
1983,-17.9740019
1984,-21.25601168
1985,-27.69980499
1986,-24.81030278
1987,-33.58448798
1988,-41.17600187
1989,-48.20637883
1990,-59.37926492
1991,-65.80986613
1992,-74.15342421
1993,-69.1638385
1994,-77.32400739
1995,-64.61708151
1996,-64.50503816
1997,-63.02302048
1998,-47.62265191
1999,-52.77476493
2000,-55.40390496
2001,-62.60660924
2002,-68.37712729
2003,-73.886938535
2004,-75.73662243000001
2005,-74.30345654
2006,-71.792598235
2007,-70.528066835
2008,-79.246900205
2009,-86.17668309000001
2010,-93.730323055
2011,-91.94801813000001
2012,-87.309522835
2013,-91.068006535
2014,-98.89461303
2015,-108.9919977
2016,-110.3670308
2017,-109.80935155
2018,-109.2516723
2019,-104.5933526
2020,-105.5881605
2021,-114.8090272
